Disease,Symptom_1,Symptom_2,Symptom_3,Treatment
Diabetes,polyuria,polydipsia,weight loss,metformin
Hypertension,headache,dizziness,blurred vision,lisinopril
Asthma,wheezing,shortness of breath,chest tightness,albutol
Depression,sadness,anhedonia,fatigue,sertraline
COPD,cough,dyspnea,sputum,bronchodilators
Rheumatoid Arthritis,joint pain,stiffness,swelling,methotrexate
Migraine,headache,photophobia,nausea,sumatriptan
GERD,heartburn,regurgitation,dysphagia,omeprazole
Hypothyroidism,fatigue,weight gain,cold intolerance,levothyroxine
CVD,chest pain,dyspnea,diaphoresis,aspirin
